"job_group","badge","company_name","title","deadline","address_main","address_total","experience","education","employment_type","salary","tech_stack","createdAt","crawledAt","url","description"
"Python, Java, 솔루션, Linux, 백엔드/서버개발 외                    수정일 24/12/16","상품기획·MD 지원 TOP100","(주)NE능률","2025 NE능률 신입/경력 공개 채용","~ 12/25(수)","서울  마포구","서울  마포구","신입·경력","초대졸↑","정규직","","Python, Java, 솔루션, Linux, 백엔드/서버개발","2024-12-17T10:40:01.590Z","2024-12-17T10:40:01.590Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49586653&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, 빅데이터, 웹개발, 데이터분석가 외                    수정일 24/12/16","구매·자재·물류 지원 TOP100","(주)케이엘넷","각 부문 신입/경력 채용공고","~ 12/22(일)","서울  강남구","서울  강남구","신입·경력","초대졸↑","정규직·계약직","","Python, Java, 빅데이터, 웹개발, 데이터분석가","2024-12-17T10:40:01.590Z","2024-12-17T10:40:01.590Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49529556&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, AWS, 솔루션, Linux 외                    수정일 24/12/11","상품기획·MD 지원 TOP100","(주)미래엔","각 부문 경력사원 채용","오늘마감","서울  서초구","서울  서초구","경력","대졸↑","정규직","","Python, Java, AWS, 솔루션, Linux","2024-12-17T10:40:01.591Z","2024-12-17T10:40:01.591Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49572007&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, 기술지원, 유지보수, 알고리즘, 정보통신 외                    수정일 24/12/17","고객상담·TM 조회 TOP100","(주)대일시스템","2024년 각 부문 하반기 채용","~ 01/12(일)","경기  용인시 처인구","경기  용인시 처인구","경력무관","대졸↑","정규직","","Python, 기술지원, 유지보수, 알고리즘, 정보통신","2024-12-17T10:40:01.593Z","2024-12-17T10:40:01.593Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49554588&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 머신러닝, 빅데이터 외                    수정일 24/12/17","생산 지원 TOP100","(주)DB하이텍","[DB하이텍 & DB글로벌칩] 경력사원 공개채용 (12월)","~ 01/12(일)","경기  부천시","경기  부천시","경력2년↑","대졸↑","정규직","","Python, C++, Java, 머신러닝, 빅데이터","2024-12-17T10:40:01.594Z","2024-12-17T10:40:01.594Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49585114&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, AWS, 기술지원, 유지보수, 정보보안 외                    수정일 24/12/12","금융·보험 스크랩 TOP100","코리안리재보험(주)","코리안리재보험㈜ 2025 상반기 경력직 채용","~ 12/20(금)","서울  종로구","서울  종로구","경력","대졸↑","정규직","","Python, AWS, 기술지원, 유지보수, 정보보안","2024-12-17T10:40:01.595Z","2024-12-17T10:40:01.595Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49573207&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 딥러닝, 솔루션 외                    수정일 24/12/13","금융·보험 지원 TOP100","우리에프아이에스(주)","우리에프아이에스 2024년 경력사원 채용 공고","~ 12/22(일)","서울  마포구","서울  마포구","경력","학력무관","정규직","","Python, C++, Java, 딥러닝, 솔루션","2024-12-17T10:40:01.596Z","2024-12-17T10:40:01.596Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49587708&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, Java, AWS, 빅데이터, 데이터분석가 외                    수정일 24/12/16","상품기획·MD 지원 TOP100","(주)교원","[교원그룹] 12월 정기채용","~ 12/22(일)","서울  중구","서울  중구","신입·경력","고졸↑","정규직·계약직","","Python, Java, AWS, 빅데이터, 데이터분석가","2024-12-17T10:40:01.598Z","2024-12-17T10:40:01.598Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49585866&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 웹개발, 앱개발 외                    수정일 24/12/09","마케팅·홍보·조사 지원 TOP100","영남이공대학교","영남이공대학교 일반직원 공개채용 공고","~ 12/23(월)","대구  남구","대구  남구","신입·경력","초대졸↑","정규직","","Python, C++, Java, 웹개발, 앱개발","2024-12-17T10:40:01.599Z","2024-12-17T10:40:01.599Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49525634&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
"Python, C++, Java, 딥러닝, AWS 외                    수정일 24/11/25","금융·보험 지원 TOP100","이에이트(주)","[코스닥 상장사] 이에이트 신입 및 경력 채용","~ 12/31(화)","서울  송파구","서울  송파구","신입·경력","학력무관","정규직·전문연구요원","","Python, C++, Java, 딥러닝, AWS","2024-12-17T10:40:01.600Z","2024-12-17T10:40:01.600Z","https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=48494926&location=ts&searchword=%ED%8C%8C%EC%9D%B4%EC%8D%AC&searchType=search&paid_fl=n&search_uuid=6d68b33d-8db2-4c9f-a4dc-832537795ec6",""
